20 by merohedry,twinning by merohedry
20 in operation,twinning operation
20 operation,twinning operation
20th operator,twinning operator
a star,$\mathbf{a}$
actor Christ,Acta Cryst.
alpha fold three,AlphaFold3
alpha fold two,AlphaFold2
Anita Patterson,a native Patterson
Argand diagram,Argand diagram
b star,$\mathbf{b}$
be star,$\mathbf{b}$
biochrist library,biocryst library
bizarre systematic absences,non-space group absences 
blue ice,Blu-Ice
bravis lattice,Bravias lattice
Britian plot,Britton plot 
c star,$\mathbf{c}$
C2,$C2$
C222,$C222$ 
C222,$C222_{1}$
C2221,$C222_{1}$
cc one-half,$CC_{1/2}$ 
ccp4 cloud,CCP4 Cloud
ccp4 study weekend,CCP4 Study Weekend
check my metal,checkMyMetal
check my sequence,checkMySequence
christographer,crystallographer
christography,crystallography
cns,CNS
colab fold,ColabFold
create cctbx conda environment,conda create -n cctbx312 -c conda-forge cctbx-base python=3.12
create cctbx conda kernel,conda activate cctbx312 && python -m ipykernel install --user --name cctbx312 --display-name 'cctbx 3.12'
crims,CRIMS
Crystal Graphics symmetry,crystallographic symmetry
Crystal low graphic symmetry,crystallographic symmetry
define a twin law,the set of all the twin operations that do the same mapping
define epitaxy,the oriented crystal association of chemically heterogeneous phases
define non-merohedral twinning,only certain zones of reciprocal lattice points overlap
define twin operation,the operation mapping the orientations of two individuals of a twin and is a crystallographic operation about a direct lattice element
define twinning,the oriented association of two or more individual domains in the same crystalline phase
disarmography,crystallography
display electron density equation,$$\rho (xyz) = (1/V) \sum_{h} \sum_{k} \sum_{l} |F (hkl)| \exp [- 2 \pi i (hx + ky + lz)\ + i \alpha (hkl)]$$
electric graphics,molecular graphics
electric placement,molecular replacement
eln,ELN
epitaxial twinning,WRONG!! Misused term. Rewrite.
equation for quantum refinment in phenix,$$\mathrm{E}_{\text {ONIOM }}^{Q M / M M}=\mathrm{E}_{\text {QMlayer }}^{Q M}+\mathrm{E}_{\text {all }}^{M M}-\mathrm{E}_{\text {QMlayer }}^{M M}$$
equation gradient driven quantum refinment in phenix,$$\left(\nabla \mathbf{x}_i\right)_{\text {total }}=\mathrm{K} * \Omega_{\text {xray }} *\left(\nabla \mathbf{x}_i\right)_{\text {xray }}+\Omega_{\text {geom }} * \boldsymbol{\varpi}_i *\left(\nabla \mathbf{x}_i\right)_{\text {ONIOM }}$$
eval 15,Eval15
expand 3D ED,three-dimensional electron diffraction
expand 3DVA,3D variability analysis
expand aca,ACA the Structural Science Society
expand ADP,Atomic Displacement Paramters
expand afca,African Crystallographic Association
expand ALD,Associate Lab Director
expand als,Advanced Light Source
expand amf,Atomic Modulation Function
expand aps,Advanced Photon Source
expand aug-promol,point charges-augmented promolecule
expand besac,Basic Energy Sciences Advisory Committee
expand bnl,Brookhaven National Laboratory
expand caBLAM,C-alpha Based Low-resolution Annotation Methods
expand ccl,Chemical Component Library
expand ccn,Computational Crystallography Newsletter
expand ccp4,Collaborative Computational Project Number 4
expand cctbx,Computational Crystallography Toolbox
expand ceres,CryoEM re-refinement system
expand charmm,Chemistry at Harvard Molecular Mechanics
expand chess,Cornell High Energy Synchrotron Source
expand cif,Crystallographic Information File 
expand cmb,IUCr Commission on Biological Macromolecules
expand cmm,checkMyMetal
expand cns,Cold Neutron Source
expand CNS,Crystallography and NMR System
expand cns,Crystallography and NMR System
expand coot,Crystallographic Object-Oriented Toolkit
expand clpc,cross-linked protein crystal
expand crims,Crystallization Information Management System 
expand CRIMS,Crystallographic Information Management System
expand cryo-em,cryo-electron microscopy
expand csd,Cambridge Structural Database
expand csgid,Center for Structural Genomics of Infectious Diseases
expand csv,comma-separated values
expand dddwg,IUCr Diffraction Data Deposition Working Group
expand dft,Density Functional Theory
expand digs,Demodulation of Intensities by Grouping and Scaling
expand doi,Digital Object Identifier
expand DPI,Diffraction Precision Index
expand DSL,Diamond Light Source
expand eca,European Crystallographic Association
expand elBOW,electronic ligand Building
expand elmam2,Epxerimental Library of Multipolar Atom Model 2
expand elmo,Extremely Localized Molecular Oribitals
expand eln,Electronic Lab Notebook
expand EPMM,Exact Potential Multipole Moment
expand epmm,Exact Potential Multipole Moment
expand esrf,European Synchrotron Radiation Facility
expand fair,Findable Accessible Interoperable Re-usable
expand FEL,free-electron laser
expand FFT,Fast Fourier Transform
expand fiji,FIJI Is Just ImageJ
expand fxs,fluctuation X-ray scattering
expand gid,Generalized Invariom Database
expand har,Hirshfeld Atom Refinement
expand HETATM,hetero atom
expand HF,Hartree-Fock
expand htx,high-throughput crystallography
